features,assay1,assay2,assay3,assay4,assay5,assay6,assay7,assay8,assay9,assay10,assay11,assay12,assay13,assay14,assay15,assay16,assay17,assay18,assay19,assay20,assay21,assay22,assay23,assay24,assay25,assay26,assay27,assay28,assay29,assay30,assay31,assay32,assay33,assay34,assay35,assay36,assay37,assay38,assay39,assay40,assay41,assay42,assay43,assay44,assay45,assay46,assay47,assay48,assay49,assay50
fr_C_O,0.2743830154487238,5.034790698865768,9.823456345830612,1.4347884992154114,0.7448673142132887,3.8669060816580667,4.0941121946916805,0.1592302309606846,3.5418768230875797,0.5014641736526337,5.007061214150936,0.16722003923872614,0.34517451000470295,3.7688158147167448,13.044453588623872,0.09040400444407329,3.281603057286644,4.821391640440956,6.695570965770815,9.44226793920825,2.4247968333450785,2.7441788056994403,3.550853840282508,1.6852082835772701,0.2342098294663674,0.972752863981363,4.4534859314052895,1.3497313469225352,5.2143526981161905,0.5871269080842512,21.205359755230205,2.5663562372938817,6.327633436214731,1.5264595286424416,3.650654433914012,0.9652764808089798,0.8027185002420729,1.1025498773759106,1.2307915915593912,0.057753021884204336,0.09158227594056337,5.680517650211344,1.5221080042734443,3.5794957920181445,5.472049866681845,3.1126493174928522,1.3814514983726685,2.927947919309868,2.8587015666049402,5.232190035872191
TPSA,0.1805024421298875,3.5634833231366416,6.074066248971469,0.9958358591209491,0.4968818715286626,2.903003745801632,2.347288466333137,0.16374433887537299,2.1424236293011405,0.2977111192565757,2.755234005722163,0.2988179846902367,0.21035651077234804,2.2942456795872417,6.431183577229897,0.06413507519627248,1.8496364998542052,2.8048402188957744,4.351709046695843,6.312433437087909,1.4099348840576431,1.4770710684313155,2.498659252509663,1.046650631131015,0.3573504048574979,0.554461931316068,3.0641674315886123,0.9092621859818225,3.392117000133422,0.3704636901587008,12.818205426461043,1.653316845291889,3.510332767000911,1.0217945067816214,1.853652988060285,0.43799367160599434,0.5408470779617536,0.6183517419274535,0.6049772749518872,0.1786491267207097,0.27093015379321334,3.197679898885823,0.8147985750269445,2.3403692332957418,2.886422503880553,1.8830054636708766,0.8136367640028533,1.7218513081031932,2.14795286970799,3.19798482708835
SMR_VSA1,0.26590811880903054,5.004888325574435,9.138019849647856,1.2737366060343431,0.6512318886748754,3.814241960235165,3.881789148218148,0.14193420509141863,3.182720825963095,0.4557811327839267,4.4267260347197475,0.5081575048243991,0.2698873040672405,3.503509800829989,12.007046245768338,0.14008597992340324,2.702728909012433,4.354187499243897,6.406951194091884,8.951312891907,2.327494918503078,2.3715797419963476,3.5124614548446393,1.3706445584558007,0.24803614342492025,0.739589992605997,4.054999861943173,1.0514462174954644,5.143493589991834,0.4219647828776954,19.345237618862203,2.3890527093026535,5.929501615541926,1.3293853436509164,3.2649913226404776,0.7844791637498757,0.6327660391967889,1.115381959868633,0.9262729779937608,0.21324795239590277,0.23271090224030616,5.039603790722372,1.2573976224636312,3.3541933560178676,4.841661552206617,2.835177695026028,1.2237696677148133,2.714191496402889,2.8912110333826293,4.897870033737585
NumHAcceptors,0.21397369819927753,2.852032636477773,5.517826700431097,0.9359435058003731,0.44114917839451817,2.320654514255092,2.1815951540533196,0.20942401959469725,2.1136652956934627,0.41869913213024884,2.594843893723205,0.2356767057537426,0.4415183118570236,2.231068817311698,6.570112841812713,0.16164598551012738,1.9648275911120248,2.7415611097005783,3.9678607271426904,5.48665852969531,1.2424927110987727,1.5243125414855252,1.679900628095139,1.0114190428201684,0.1418293719711765,0.6847821577966473,2.67750229329402,0.8086096537870933,3.0022889807319677,0.5368255742080525,12.349174787695702,1.7195903242126935,3.346106228286896,1.1943807735089522,1.9353460982589836,0.4494913532901094,0.7169283564128804,0.5365724517465837,0.6614026475108499,0.39821693431906097,0.3119694752942263,3.1623309076192534,0.830198111917517,2.153970796238802,2.9006250992604,1.9277163692163644,0.8244975210863756,1.7050055703042015,1.8364309385515702,2.8488954266218856
NumAromaticCarbocycles,0.32712585075423106,0.693239977816718,0.2898863139251338,0.30819291382428143,0.4533509912747107,0.3041738520750569,0.5167147004176929,0.3719619690879183,0.33677885481842346,0.2827046942522573,0.20912244146774478,0.6143961123597944,0.3015003077571025,0.6401063237533131,0.16540022622329573,0.26872678441478026,0.3936862258239315,0.33209219125922823,0.5093102798685601,0.24246123217075377,0.3656079174650319,0.42535278063396315,0.5225981778673098,0.25162746772486516,1.3511551131021584,0.32646909384672684,0.4590595801686054,0.6297093370453188,0.4203554536178243,0.23922091861809439,0.4270349309871494,0.4247366927532211,0.3747619895908695,0.36142822259512625,0.2655034471880541,0.1152068528150167,0.7710640418842853,0.17574093690887718,0.5654337170342009,0.25019935399770804,1.026344569091505,0.20368389011378216,0.11550044536906308,0.35057277269958437,1.1266498196691708,0.44932130400808373,0.5538337724758954,0.20429686222330828,0.1833751979918047,0.12833668844507984
NumHeteroatoms,0.2883898866245914,0.5373657457001648,0.29437586442010055,0.23446918402599187,0.1958750305180893,0.4200365067719707,0.2924172612314849,0.2543679926001578,0.4685110938348004,0.49559406340960577,0.27552693522146227,0.4846418670683762,0.1956487980431595,0.4806722155766095,0.19144359871211872,0.20364300978550948,0.2775046292401925,0.5429436908175843,0.3406681062483978,0.08525781940191768,0.2875789452143912,0.45958803306135126,0.20669339271286374,0.1673762864493092,1.0464102072243449,0.1852008086319569,0.4872235874065651,0.47692182811091943,0.46129310635298115,0.13824651882702713,0.7176280352417042,0.3353577175933532,0.40208734002503094,0.3888753973064731,0.23956861920756994,0.20608675668951854,0.5123110959550932,0.20912905673985419,0.5419078078199624,0.19083143936327776,0.5588945541882364,0.13730747503133484,0.3075133792300041,0.24590537264077486,1.0802260866485904,0.5416981883695426,0.5854188354423059,0.21522038089448609,0.4073974408315831,0.08491110834796342
Chi4n,0.11762083661932435,0.13914753955059245,0.161884800220154,0.0852977484291393,0.2982117670956592,0.23201290330999208,0.32170218525438743,0.23843207822385487,0.50938159336335,0.3463242372240627,0.3128411028396595,0.19818910348092494,0.17005806405900667,0.29981769840442307,0.1534081304349782,0.117885645978085,0.15551087513294834,0.45967128430239423,0.45542012696064516,0.28882492559779144,0.5244999709516859,0.09272723612254355,0.13498164231772009,0.13215879246456044,0.20017213495576697,0.35108456679228794,0.3631899770070898,0.47141762692178035,0.12175165057040685,0.1536278039414496,0.2835995279742948,0.16863852836109333,0.38082595933276575,0.3765333129821252,0.20693801204000034,0.24790369013355046,0.9309357795331914,0.1960079490536202,0.10020681638876591,0.13282594104680925,0.4449755034389343,0.3011467703283208,0.3024946245692306,0.21947004591115787,0.5135360152645865,0.08655718796630156,0.08526067846221966,0.1355554481434236,0.7196283279746615,0.16356680801303888
VSA_EState10,0.41002342256527663,0.34679839042344923,0.4170564598510951,0.5154426378034473,0.6432777589968118,0.6447486133195135,0.547573789180436,0.395723721418837,0.7244645792158073,0.6642777037069822,0.513503970468124,0.4006664695752359,0.3808004819042203,0.6710252141228492,0.36405720234788974,0.21842125097570336,0.18645517666664957,0.8012187822010495,0.4935689918764371,0.42309210378537115,0.4106953029624785,0.30404149546265663,0.27346959862567516,0.44358281965718815,0.3924524388636833,0.3839173386272445,0.4907392881194335,0.7427987320846625,0.5796718293876235,0.22420010580129376,0.5020956032487602,0.18212759163477013,0.46360535266804614,0.6203759504966805,0.2694764367680041,0.28755995099671905,0.8217247863688758,0.2718489111396388,0.4036304115865,0.43730079028317004,0.794903653543742,0.4876379337326001,0.4499579661124556,0.35581065647386356,0.8849063277091631,0.3581019037844159,0.3214255672029435,0.35256483101693625,1.1640965186692391,0.3782067617865045
VSA_EState3,0.13573291816323946,0.1358413267368915,0.1593395159644741,0.20659723025218693,0.15136781831986304,0.20999180062000994,0.16036621754599573,0.13505983332221908,0.24247844423090478,0.220673391510672,0.08934857383878367,0.09211038526332291,0.17133491502549064,0.20083879950407146,0.17331567014623644,0.1509984459199698,0.16755291214031126,0.11588955448771274,0.17384183139499743,0.13902696595525424,0.0669974460489593,0.1749662731441411,0.13115818978921506,0.23745739085945017,0.22893036705408906,0.14419159412317348,0.12790610301512154,0.33565771652731485,0.16418745706878146,0.03445752086705322,0.11755175695389641,0.06918573259962024,0.15516530971926962,0.14064744166572812,0.2925591461605442,0.12673018484321935,0.20030062509475974,0.09424652182495831,0.05830500788830928,0.10994148581078873,0.18991347452762652,0.19208338998722607,0.15345100160618413,0.10367962479027137,0.14500401906107094,0.17781003496949493,0.13887839061833296,0.14310109152561937,0.34080240695275343,0.1779631431286644
Kappa1,0.6445083654412496,0.6041222070247525,0.5717659323457662,0.5722696494366146,0.3280186816617452,0.6544878116256034,0.575220064341931,0.42801899531458953,0.789528129554421,0.5094672471280364,0.4555453703467296,1.0619000275923103,0.7956174236246848,0.6173176444594406,0.7325804131065692,0.2995478656361182,0.7997088939346713,0.7231402181044313,0.5961207079637898,0.8318084516818149,0.5524489330561935,0.605813085597408,1.193953554146501,0.8153672507518737,2.2929452545546125,0.4471157527581592,0.9887443845969941,0.917572248276454,1.0451191208887947,0.5897449309956062,0.6873399367526369,0.500111532042343,0.5758746134721167,0.5920893140852526,0.600129899721138,0.2321315918420816,1.5947161158098913,0.5022535425689707,0.48647229280206633,0.52678358615274,1.1193546225325695,0.6251876103551914,0.7009617721670892,0.7236133542924992,0.8737143264612252,0.3667134232163783,0.39521391437889797,0.30101294091066333,0.9631874413524489,0.6603979838378308
