features,assay1,assay2,assay3,assay4,assay5,assay6,assay7,assay8,assay9,assay10,assay11,assay12,assay13,assay14,assay15,assay16,assay17,assay18,assay19,assay20,assay21,assay22,assay23,assay24,assay25,assay26,assay27,assay28,assay29,assay30,assay31,assay32,assay33,assay34,assay35,assay36,assay37,assay38,assay39,assay40,assay41,assay42,assay43,assay44,assay45,assay46,assay47,assay48,assay49,assay50
fr_C_O,0.2743830154487238,5.034790698865768,9.822329354037786,1.31570066418616,0.6292919469934374,3.8139322038199595,4.090114831367778,0.12098834988899587,3.4832107616625505,0.4438880995632248,5.007061214150936,-0.12234885083685179,0.33321184804837595,3.7385247206853087,13.044453588623872,0.09040400444407329,3.281603057286644,4.821391640440956,6.695570965770815,9.44226793920825,2.4247968333450785,2.7441788056994403,3.464845487948002,1.6852082835772701,0.023873575083571574,0.9703541357890664,4.4292597465547665,1.3497313469225352,4.949214679929545,0.5274925838094667,21.205359755230205,2.5539292543144088,6.327633436214731,1.5264595286424416,3.650654433914012,0.9652764808089798,0.8027185002420729,1.0911097270111523,1.2307915915593912,0.05358870157566459,0.09158227594056337,5.680517650211344,1.5221080042734443,3.5794957920181445,5.472049866681845,3.1126493174928522,1.3814514983726685,2.927947919309868,2.7793377475083565,5.232190035872191
TPSA,-0.14048691101834573,-3.5634833231366416,-6.074066248971469,-0.9958358591209491,-0.46747816330686787,-2.903003745801632,-2.3134378869474346,-0.16374433887537299,-2.1424236293011405,-0.26871700689046096,-2.685793590272316,-0.16170164641952373,-0.21035651077234804,-2.2942456795872417,-6.408368463272583,-0.06413507519627248,-1.8496364998542052,-2.8048402188957744,-4.345806220881843,-6.25073569016151,-1.3463696316989113,-1.4770710684313155,-2.498659252509663,-1.046650631131015,-0.17962788551767567,-0.5043609603177895,-3.024223215368758,-0.7277438047147047,-2.877646798288696,-0.3704636901587008,-12.818205426461043,-1.6317521134050594,-3.510332767000911,-1.0217945067816214,-1.814124295138318,-0.4077195175848815,-0.5408470779617536,-0.6105891879125129,-0.5499210157989346,-0.014755188861348006,-0.2412074730891718,-3.197679898885823,-0.8147985750269445,-2.2949784446539696,-2.8648019773502917,-1.8830054636708766,-0.8136367640028533,-1.7128997061804914,-1.9687816213790317,-3.19798482708835
SMR_VSA1,-0.12509366867496993,-4.7538304176033455,-9.099345909677854,-1.2198637429320032,-0.5483268902912871,-3.6877023985172483,-3.7543500849107603,-0.06433017541891584,-3.139167030776279,-0.423604930709195,-4.196789075869452,0.5081575048243991,-0.01014902413946835,-3.503509800829989,-11.66884948637683,0.14008597992340324,-2.6595900673887605,-4.354187499243897,-6.330393687041244,-8.8929905703099,-2.2177986230949562,-2.3014405326292264,-3.262166846336543,-1.2840895903301919,0.1652784619496875,-0.6512894418834231,-4.051721949906725,-0.8892166487245214,-4.309396783330366,-0.27569785684142606,-19.345237618862203,-2.253911866895465,-5.7654201787680375,-1.1322080011876237,-3.079497569340151,-0.6499251713611989,-0.23899632429916676,-0.99183016710872,-0.9262729779937608,0.21324795239590277,0.16945616328671376,-5.039603790722372,-1.2573976224636312,-3.1940645523932654,-4.798561677558292,-2.814787010102383,-1.1873029236475585,-2.651319416026218,-2.869114973726796,-4.849216525248498
NumHAcceptors,-0.21397369819927753,-2.832314568143911,-5.508888859513296,-0.9359435058003731,-0.40516041223958377,-2.320654514255092,-2.1815951540533196,-0.20381752211070375,-2.072613792996342,-0.41869913213024884,-2.594843893723205,-0.2356767057537426,-0.4415183118570236,-2.1699284605099987,-6.570112841812713,-0.16164598551012738,-1.9648275911120248,-2.7415611097005783,-3.9678607271426904,-5.48665852969531,-1.2332377374518066,-1.5243125414855252,-1.6437876499064252,-1.0114190428201684,-0.1236263397093135,-0.6847821577966473,-2.67750229329402,-0.6194542350003793,-3.0022889807319677,-0.5368255742080525,-12.349174787695702,-1.7195903242126935,-3.346106228286896,-1.1943807735089522,-1.9353460982589836,-0.4332402146279474,-0.7169283564128804,-0.5305052631550966,-0.6614026475108499,-0.39821693431906097,-0.3119694752942263,-3.1623309076192534,-0.830198111917517,-2.153970796238802,-2.9006250992604,-1.9277163692163644,-0.8244975210863756,-1.7050055703042015,-1.8364309385515702,-2.8488954266218856
NumAromaticCarbocycles,-0.32712585075423106,-0.693239977816718,-0.1411067376850541,-0.08294904209069506,-0.4533509912747107,0.07197436649005798,-0.5167147004176929,-0.3719619690879183,0.1307921091677823,0.22969765933364744,0.0938480957311331,-0.6143961123597944,-0.015527108506979498,-0.6401063237533131,-0.08069783925701432,-0.26872678441478026,-0.3936862258239315,0.2891653546843992,-0.42271102944894146,-0.2156841544535181,-0.07350240445686221,-0.42535278063396315,-0.5225981778673098,-0.25162746772486516,-1.3511551131021584,-0.32646909384672684,0.264877970808226,-0.6297093370453188,-0.3119890096424152,-0.23922091861809439,0.4270349309871494,-0.4247366927532211,0.349727137699268,0.1359930839281258,-0.18566324171573312,-0.0420167047694261,-0.7710640418842853,0.025682843764039804,-0.5654337170342009,-0.25019935399770804,-1.026344569091505,-0.15455899068858714,0.11429725295357704,-0.35057277269958437,-1.1266498196691708,-0.44932130400808373,-0.5538337724758954,-0.20145693836611617,-0.10257309947061735,-0.09374772997747531
NumHeteroatoms,0.27280095115850655,0.4164173435225214,-0.13516496966733926,-0.1511732913574128,0.18790943809008304,-0.2691149461660743,0.26430345804588745,0.2066738721338449,-0.4685110938348004,-0.49559406340960577,-0.27552693522146227,0.3150291812910785,-0.07874125372357456,0.4806722155766095,-0.15128333283697745,0.20364300978550948,0.2775046292401925,-0.5429436908175843,0.25744439540251324,0.02216603864249484,-0.06838336024666943,0.45958803306135126,0.18113443042753333,0.05351449016801032,0.7043360186623993,0.02539589209327734,-0.4195604333692466,0.47692182811091943,0.07454493037719287,0.04282885097950152,-0.7176280352417042,0.3259154430183532,-0.40208734002503094,-0.360926961189994,0.1001544882492917,-0.20608675668951854,0.45093356837986603,-0.20912905673985419,0.514717726781425,-0.19083143936327776,0.435157090239308,-0.030598970566043087,-0.3075133792300041,0.24590537264077486,1.0802260866485904,0.5416981883695426,0.5854188354423059,0.21522038089448609,-0.4073974408315831,-0.026101502653544932
Chi4n,-0.04430934008818301,-0.028143292576256123,0.06121797296183298,0.08214618042425867,0.2982117670956592,0.23201290330999208,0.32170218525438743,0.23843207822385487,0.50938159336335,0.3463242372240627,0.3000840580943275,-0.1937718544022273,0.16504224857814453,0.29981769840442307,0.09100262344215135,0.10517973127419214,0.04518014722397985,0.45967128430239423,0.44476158735438015,0.2886453654871448,0.5244999709516859,0.09272723612254355,0.014626155967195843,0.08242448089258651,-0.17422972915272514,0.30789774008740134,0.3178837596432671,0.47141762692178035,0.08709294180916875,0.04444693831364216,0.2835995279742948,0.13865758280016838,0.38082595933276575,0.3765333129821252,0.11302842480998812,0.1578477578161892,0.9309357795331914,0.1807644984888073,0.028309503737507402,0.019764023458787864,0.4449755034389343,0.3011467703283208,0.2805573085696424,0.21947004591115787,0.5135360152645865,-0.08655718796630156,0.026149304262786305,0.027887397496395544,0.7196283279746615,0.16023492387984986
VSA_EState10,-0.41002342256527663,-0.34679839042344923,-0.4170564598510951,-0.5154426378034473,-0.6432777589968118,-0.6447486133195135,-0.547573789180436,-0.395723721418837,-0.7244645792158073,-0.6642777037069822,-0.513503970468124,-0.4006664695752359,-0.3808004819042203,-0.6710252141228492,-0.33821361161423813,-0.21842125097570336,-0.17736994189313493,-0.8012187822010495,-0.4935689918764371,-0.42309210378537115,-0.4106953029624785,-0.30404149546265663,-0.27346959862567516,-0.44358281965718815,-0.3823131764830554,-0.3839173386272445,-0.4907392881194335,-0.7427987320846625,-0.5796718293876235,-0.20248534654195804,-0.5020956032487602,-0.17407826717484234,-0.46360535266804614,-0.6203759504966805,-0.2694764367680041,-0.28755995099671905,-0.8217247863688758,-0.2718489111396388,-0.4036304115865,-0.43730079028317004,-0.794903653543742,-0.4876379337326001,-0.4499579661124556,-0.35581065647386356,-0.8849063277091631,-0.3581019037844159,-0.3214255672029435,-0.35256483101693625,-1.1640965186692391,-0.3782067617865045
VSA_EState3,-0.10649291624990287,-0.09181714237738775,-0.1593395159644741,-0.20659723025218693,-0.15136781831986304,-0.09802859979790986,-0.14109077705405954,-0.13505983332221908,-0.24247844423090478,-0.220673391510672,0.05861376275462954,0.09211038526332291,-0.17133491502549064,-0.18875062286289462,0.02628531387916494,-0.13019864904490488,-0.16755291214031126,-0.09848567897464806,-0.09687855202862372,0.02506640570285539,0.06361264606532942,-0.1749662731441411,-0.03140225511741538,-0.23745739085945017,0.20028681906249823,0.13223824801233725,0.0954186086062848,0.33565771652731485,-0.16418745706878146,0.03445752086705322,-0.041530441811971526,-0.016800837447532437,-0.008821532595871682,0.11772848007660464,-0.2925591461605442,-0.12673018484321935,0.029588266670527642,-0.05960752675143329,-0.03466403060777852,0.10325392819258265,-0.18991347452762652,-0.19208338998722607,-0.15345100160618413,-0.10367962479027137,0.044625586445811306,-0.17781003496949493,-0.13887839061833296,-0.14310109152561937,-0.34080240695275343,-0.1779631431286644
Kappa1,0.6445083654412496,0.6041222070247525,0.5717659323457662,0.5722696494366146,0.3280186816617452,0.6544878116256034,0.575220064341931,0.42801899531458953,0.789528129554421,0.5094672471280364,0.4555453703467296,1.0619000275923103,0.7956174236246848,0.6173176444594406,0.7325804131065692,0.2995478656361182,0.7997088939346713,0.7231402181044313,0.5961207079637898,0.8318084516818149,0.5524489330561935,0.605813085597408,1.193953554146501,0.8153672507518737,2.2929452545546125,0.4471157527581592,0.9887443845969941,0.917572248276454,1.0451191208887947,0.5897449309956062,0.6873399367526369,0.500111532042343,0.5758746134721167,0.5920893140852526,0.600129899721138,0.2321315918420816,1.5947161158098913,0.5022535425689707,0.48647229280206633,0.52678358615274,1.1193546225325695,0.6158914277588271,0.7009617721670892,0.7236133542924992,0.8737143264612252,0.3667134232163783,0.39521391437889797,0.30101294091066333,0.9631874413524489,0.6603979838378308
