,mean,sd,hdi_3%,hdi_97%
beta_0[tox21-elg1-luc-agonist-p1],1.0,0.517,0.304,2.003
beta_0[tox21-ar-bla-antagonist-p1],0.992,0.52,0.279,1.993
beta_0[tox21-rt-viability-hek293-p1],0.996,0.521,0.302,1.989
beta_0[tox21-shh-3t3-gli3-agonist-p1],1.003,0.514,0.335,2.035
beta_0[tox21-ppard-bla-agonist-p1],0.994,0.518,0.259,1.987
beta_0[tox21-ar-mda-kb2-luc-agonist-p3],1.0,0.51,0.321,1.991
beta_0[tox21-er-bla-antagonist-p1],0.98,0.523,0.261,1.98
beta_0[tox21-p53-bla-p1],0.999,0.521,0.293,2.017
beta_0[tox21-car-agonist-p1],1.003,0.514,0.324,1.989
beta_0[tox21-erb-bla-antagonist-p1],0.991,0.522,0.275,1.987
beta_0[tox21-ar-mda-kb2-luc-antagonist-p1],0.985,0.527,0.278,1.984
beta_0[tox21-pparg-bla-antagonist-p1],0.995,0.516,0.314,2.005
beta_0[tox21-ap1-agonist-p1],1.008,0.51,0.311,1.992
beta_0[tox21-hre-bla-agonist-p1],1.005,0.512,0.304,1.997
beta_0[tox21-pgc-err-p1],0.993,0.515,0.316,1.987
beta_0[tox21-nfkb-bla-agonist-p1],0.992,0.517,0.317,1.997
beta_0[tox21-pr-bla-agonist-p1],0.991,0.522,0.269,1.983
beta_0[tox21-ar-mda-kb2-luc-antagonist-p2],1.0,0.517,0.294,1.999
beta_0[tox21-fxr-bla-agonist-p2],1.0,0.513,0.317,1.997
beta_0[tox21-mitotox-p1],0.983,0.525,0.243,1.981
beta_0[tox21-ror-cho-antagonist-p1],0.988,0.527,0.263,1.996
beta_0[tox21-gh3-tre-antagonist-p1],0.997,0.519,0.288,1.994
beta_0[tox21-vdr-bla-agonist-p1],0.992,0.518,0.289,1.988
beta_0[tox21-sbe-bla-antagonist-p1],0.992,0.521,0.288,1.981
beta_0[tox21-aromatase-p1],0.996,0.522,0.276,1.983
beta_0[tox21-h2ax-cho-p2],1.001,0.513,0.309,1.988
beta_0[tox21-erb-bla-p1],0.994,0.521,0.273,1.985
