,mean,sd,hdi_3%,hdi_97%
g_beta_0[0],-0.248,0.02,-0.287,-0.211
g_beta_0[1],0.069,0.046,-0.017,0.156
g_beta_0[2],0.093,0.046,0.004,0.176
beta_0[1],-0.239,0.037,-0.309,-0.168
beta_0[18],-0.248,0.034,-0.313,-0.183
beta_0[39],-0.15,0.049,-0.24,-0.05
beta_0[8],-0.175,0.053,-0.272,-0.073
beta_0[10],-0.137,0.05,-0.226,-0.042
beta_0[0],-0.171,0.054,-0.269,-0.071
beta_0[19],-0.251,0.035,-0.319,-0.185
beta_0[12],-0.142,0.048,-0.236,-0.055
beta_0[7],-0.267,0.04,-0.346,-0.201
beta_0[6],-0.192,0.055,-0.292,-0.083
beta_0[21],-0.25,0.039,-0.329,-0.174
beta_0[20],-0.256,0.041,-0.339,-0.185
beta_0[33],-0.243,0.037,-0.316,-0.17
beta_0[45],-0.246,0.038,-0.319,-0.173
beta_0[17],-0.253,0.043,-0.341,-0.18
beta_0[29],-0.245,0.037,-0.319,-0.177
beta_0[40],-0.156,0.048,-0.249,-0.065
beta_0[38],-0.242,0.04,-0.321,-0.162
beta_0[24],-0.18,0.056,-0.291,-0.086
beta_0[34],-0.249,0.036,-0.32,-0.184
beta_0[44],-0.246,0.036,-0.32,-0.184
beta_0[30],-0.177,0.052,-0.274,-0.077
beta_0[23],-0.254,0.037,-0.321,-0.18
beta_0[32],-0.186,0.051,-0.283,-0.091
beta_0[15],-0.251,0.037,-0.323,-0.186
beta_0[4],-0.253,0.037,-0.327,-0.191
beta_0[26],-0.156,0.05,-0.256,-0.065
beta_0[42],-0.158,0.057,-0.266,-0.055
beta_0[13],-0.235,0.04,-0.306,-0.154
beta_0[14],-0.26,0.04,-0.334,-0.185
beta_0[43],-0.25,0.037,-0.319,-0.182
beta_0[3],-0.241,0.036,-0.309,-0.171
beta_0[49],-0.247,0.038,-0.326,-0.18
beta_0[46],-0.099,0.058,-0.211,0.009
beta_0[37],-0.24,0.038,-0.309,-0.162
beta_0[31],-0.267,0.044,-0.355,-0.195
beta_0[9],-0.171,0.055,-0.275,-0.068
beta_0[16],-0.24,0.038,-0.312,-0.166
beta_0[28],-0.244,0.038,-0.318,-0.174
beta_0[41],-0.25,0.037,-0.325,-0.181
beta_0[11],-0.142,0.049,-0.238,-0.059
beta_0[25],-0.25,0.037,-0.316,-0.177
beta_0[35],-0.265,0.041,-0.347,-0.196
beta_0[22],-0.244,0.037,-0.313,-0.171
beta_0[27],-0.175,0.054,-0.273,-0.072
beta_0[2],-0.241,0.037,-0.311,-0.164
beta_0[47],-0.101,0.058,-0.208,0.01
beta_0[5],-0.246,0.037,-0.318,-0.176
beta_0[36],-0.251,0.037,-0.323,-0.181
beta_0[48],-0.235,0.039,-0.307,-0.159
g_beta_1[0],-0.232,0.027,-0.281,-0.183
g_beta_1[1],-0.07,0.056,-0.172,0.031
g_beta_1[2],0.258,0.054,0.15,0.356
beta_1[1],-0.225,0.051,-0.321,-0.122
beta_1[18],-0.229,0.055,-0.331,-0.109
beta_1[39],-0.003,0.073,-0.141,0.137
beta_1[8],-0.294,0.065,-0.424,-0.178
beta_1[10],0.051,0.065,-0.058,0.184
beta_1[0],-0.313,0.066,-0.444,-0.199
beta_1[19],-0.205,0.068,-0.3,-0.041
beta_1[12],0.044,0.065,-0.074,0.168
beta_1[7],-0.231,0.051,-0.323,-0.125
beta_1[6],-0.316,0.065,-0.442,-0.207
beta_1[21],-0.233,0.049,-0.332,-0.13
beta_1[20],-0.234,0.046,-0.319,-0.144
beta_1[33],-0.222,0.051,-0.323,-0.129
beta_1[45],-0.239,0.056,-0.347,-0.128
beta_1[17],-0.241,0.051,-0.327,-0.135
beta_1[29],-0.264,0.067,-0.404,-0.159
beta_1[40],-0.003,0.071,-0.137,0.133
beta_1[38],-0.227,0.049,-0.33,-0.14
beta_1[24],0.034,0.058,-0.077,0.141
beta_1[34],-0.248,0.049,-0.345,-0.158
beta_1[44],-0.218,0.059,-0.31,-0.083
beta_1[30],-0.252,0.085,-0.396,-0.063
beta_1[23],-0.259,0.058,-0.385,-0.166
beta_1[32],-0.306,0.065,-0.434,-0.196
beta_1[15],-0.238,0.048,-0.325,-0.138
beta_1[4],-0.214,0.062,-0.316,-0.09
beta_1[26],0.024,0.064,-0.096,0.147
beta_1[42],-0.31,0.066,-0.442,-0.191
beta_1[13],-0.254,0.054,-0.35,-0.151
beta_1[14],-0.216,0.056,-0.314,-0.104
beta_1[43],-0.237,0.054,-0.357,-0.137
beta_1[3],-0.243,0.048,-0.337,-0.144
beta_1[49],-0.226,0.046,-0.305,-0.133
beta_1[46],-0.048,0.076,-0.185,0.097
beta_1[37],-0.222,0.058,-0.317,-0.085
beta_1[31],-0.243,0.053,-0.362,-0.143
beta_1[9],-0.307,0.061,-0.423,-0.196
beta_1[16],-0.225,0.054,-0.328,-0.113
beta_1[28],-0.239,0.047,-0.329,-0.146
beta_1[41],-0.189,0.074,-0.299,-0.038
beta_1[11],0.057,0.067,-0.057,0.186
beta_1[25],-0.246,0.05,-0.363,-0.165
beta_1[35],-0.234,0.046,-0.319,-0.138
beta_1[22],-0.247,0.049,-0.348,-0.152
beta_1[27],-0.304,0.067,-0.441,-0.183
beta_1[2],-0.235,0.05,-0.339,-0.144
beta_1[47],-0.058,0.078,-0.195,0.099
beta_1[5],-0.232,0.051,-0.314,-0.111
beta_1[36],-0.24,0.05,-0.348,-0.151
beta_1[48],-0.239,0.052,-0.347,-0.129
g_beta_2[0],-0.156,0.026,-0.205,-0.11
g_beta_2[1],-0.019,0.056,-0.123,0.097
g_beta_2[2],0.086,0.052,-0.009,0.189
beta_2[1],-0.16,0.036,-0.223,-0.089
beta_2[18],-0.16,0.035,-0.225,-0.092
beta_2[39],-0.076,0.052,-0.168,0.03
beta_2[8],-0.175,0.053,-0.264,-0.06
beta_2[10],-0.068,0.048,-0.158,0.023
beta_2[0],-0.177,0.054,-0.278,-0.071
beta_2[19],-0.153,0.035,-0.22,-0.09
beta_2[12],-0.063,0.05,-0.148,0.037
beta_2[7],-0.157,0.035,-0.218,-0.085
beta_2[6],-0.18,0.054,-0.282,-0.072
beta_2[21],-0.157,0.035,-0.225,-0.089
beta_2[20],-0.154,0.034,-0.217,-0.087
beta_2[33],-0.156,0.035,-0.217,-0.086
beta_2[45],-0.158,0.035,-0.227,-0.093
beta_2[17],-0.158,0.035,-0.217,-0.082
beta_2[29],-0.153,0.034,-0.217,-0.085
beta_2[40],-0.071,0.051,-0.173,0.019
beta_2[38],-0.152,0.034,-0.213,-0.085
beta_2[24],-0.069,0.051,-0.159,0.029
beta_2[34],-0.153,0.034,-0.213,-0.083
beta_2[44],-0.159,0.034,-0.223,-0.093
beta_2[30],-0.174,0.055,-0.281,-0.072
beta_2[23],-0.161,0.036,-0.224,-0.085
beta_2[32],-0.171,0.055,-0.278,-0.069
beta_2[15],-0.165,0.036,-0.233,-0.098
