"unimp_fea","Freq"
"Chi0",50
"Chi0n",50
"Chi0v",50
"Chi1",50
"Chi1n",50
"Chi1v",50
"Chi2n",50
"Chi2v",50
"Chi3n",50
"Chi3v",50
"EState_VSA11",50
"ExactMolWt",50
"FpDensityMorgan1",50
"FpDensityMorgan2",50
"fr_Al_OH",50
"fr_aldehyde",50
"fr_alkyl_carbamate",50
"fr_alkyl_halide",50
"fr_allylic_oxid",50
"fr_amidine",50
"fr_Ar_COO",50
"fr_Ar_NH",50
"fr_Ar_OH",49
"fr_azide",50
"fr_azo",50
"fr_barbitur",50
"fr_benzene",50
"fr_benzodiazepine",50
"fr_C_O",16
"fr_C_S",50
"fr_COO",50
"fr_COO2",14
"fr_dihydropyridine",50
"fr_epoxide",50
"fr_furan",50
"fr_guanido",50
"fr_hdrzine",50
"fr_hdrzone",50
"fr_HOCCN",50
"fr_imidazole",50
"fr_imide",50
"fr_Imine",50
"fr_isocyan",50
"fr_isothiocyan",50
"fr_lactam",50
"fr_lactone",50
"fr_morpholine",50
"fr_N_O",50
"fr_Ndealkylation1",15
"fr_Ndealkylation2",50
"fr_Nhpyrrole",50
"fr_nitrile",50
"fr_nitro",50
"fr_nitro_arom",50
"fr_nitro_arom_nonortho",50
"fr_nitroso",50
"fr_oxazole",50
"fr_oxime",50
"fr_phenol",50
"fr_phenol_noOrthoHbond",1
"fr_phos_acid",50
"fr_phos_ester",50
"fr_piperdine",50
"fr_piperzine",50
"fr_priamide",50
"fr_quatN",50
"fr_SH",50
"fr_sulfide",50
"fr_sulfonamd",50
"fr_sulfone",50
"fr_term_acetylene",50
"fr_tetrazole",50
"fr_thiazole",50
"fr_thiocyan",50
"fr_thiophene",50
"fr_unbrch_alkane",50
"fr_urea",50
"HeavyAtomCount",50
"HeavyAtomMolWt",50
"LabuteASA",50
"MaxEStateIndex",50
"MolMR",50
"MolWt",50
"NOCount",50
"NumAliphaticCarbocycles",49
"NumAliphaticHeterocycles",50
"NumAliphaticRings",50
"NumHAcceptors",14
"NumHDonors",50
"NumHeteroatoms",2
"NumRadicalElectrons",50
"NumSaturatedCarbocycles",36
"NumValenceElectrons",50
"SMR_VSA2",50
"SMR_VSA5",35
"SMR_VSA7",50
"VSA_EState2",14
